IssuerSize,NoBonds,OAS,Warf,DWexEurope,Europe,EuropePeriphery,Automotive,BasicIndustry,CapitalGoods,ConsumerGoods,Healthcare,Leisure,Media,Retail,Services,TechnologyElectronics,Telecommunication,Transportation
750.0,1,810.799617778208,1350,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1841.0,3,918.170659344814,3490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800.0,1,1003.61481797124,2720,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6933.2,12,723.63755572494,1350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
959.0,2,447.648006040534,940,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
475.0,1,1013.72676596795,2720,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750.0,1,745.480647233183,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3025.0,5,837.269014519176,940,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3114.5,5,701.225770623509,1350,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1472.0,3,1025.20310082496,1766,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1400.0,2,905.700948086817,3490,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1700.0,3,888.359893004464,1350,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
650.0,1,1034.6945196087,3490,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5696.0,3,802.833760144803,2220,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
550.0,1,896.964045228485,3490,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1935.5,3,603.150337686912,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5155.3,10,608.031545961372,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459.7,1,883.784105322601,1766,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2190.5,2,1079.9653480638,2720,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
